"_id","id","date_time","time","weekday","special","cType","start_section","end_section"
"6107c7ca2cc076f9679f676e",964,"12:24:09",1627899849,"sunday",0,"Van",4,5
"6107c7ca2cc076f9679f676f",960,"12:24:09",1627899849,"sunday",0,"Private",2,3
"6107c7ca2cc076f9679f6770",685,"12:24:09",1627899849,"sunday",0,"Private",3,4
"6107c7ca2cc076f9679f6771",785,"12:24:09",1627899849,"sunday",0,"Private",3,4
"6107c7ca2cc076f9679f6772",198,"12:24:10",1627899850,"sunday",0,"Van",2,3
"6107c7ca2cc076f9679f6773",588,"12:24:10",1627899850,"sunday",0,"Private",5,6
"6107c7ca2cc076f9679f6774",635,"12:24:10",1627899850,"sunday",0,"Private",3,4
"6107c7ca2cc076f9679f6775",710,"12:24:10",1627899850,"sunday",0,"Private",2,3
"6107c7ca2cc076f9679f6776",619,"12:24:10",1627899850,"sunday",0,"Private",3,4
"6107c7ca2cc076f9679f6777",945,"12:24:10",1627899850,"sunday",0,"Van",1,2
"6107c7cb2cc076f9679f6778",622,"12:24:11",1627899851,"sunday",0,"Private",1,2
"6107c7cb2cc076f9679f6779",707,"12:24:11",1627899851,"sunday",0,"Van",2,3
"6107c7cb2cc076f9679f677a",337,"12:24:11",1627899851,"sunday",0,"Private",4,5
"6107c7cc2cc076f9679f677b",195,"12:24:12",1627899852,"sunday",0,"Private",3,4
"6107c7cc2cc076f9679f677c",516,"12:24:12",1627899852,"sunday",0,"Truck",4,5
"6107c7cc2cc076f9679f677d",53,"12:24:12",1627899852,"sunday",0,"Van",2,3
"6107c7cd2cc076f9679f677e",133,"12:24:13",1627899853,"sunday",0,"Van",1,2
"6107c7cd2cc076f9679f677f",371,"12:24:13",1627899853,"sunday",0,"Van",1,2
"6107c7cd2cc076f9679f6780",226,"12:24:13",1627899853,"sunday",0,"Van",2,3
"6107c7cd2cc076f9679f6781",213,"12:24:13",1627899853,"sunday",0,"Private",4,5
"6107c7cd2cc076f9679f6782",850,"12:24:13",1627899853,"sunday",0,"Private",3,4
"6107c7cd2cc076f9679f6783",846,"12:24:13",1627899853,"sunday",0,"Truck",5,6
"6107c7ce2cc076f9679f6784",148,"12:24:14",1627899854,"sunday",0,"Private",4,5
"6107c7ce2cc076f9679f6785",500,"12:24:14",1627899854,"sunday",0,"Private",4,5
"6107c7ce2cc076f9679f6786",328,"12:24:14",1627899854,"sunday",0,"Van",3,4
"6107c7cf2cc076f9679f6787",791,"12:24:15",1627899855,"sunday",0,"Van",2,3
"6107c7cf2cc076f9679f6788",885,"12:24:15",1627899855,"sunday",0,"Private",2,4
"6107c7cf2cc076f9679f6789",665,"12:24:15",1627899855,"sunday",0,"Van",2,4
"6107c7cf2cc076f9679f678a",273,"12:24:15",1627899855,"sunday",0,"Van",1,2
"6107c7cf2cc076f9679f678b",320,"12:24:15",1627899855,"sunday",0,"Van",4,5
